UTM33_X,UTM33_Y,drilled_length,distance_to_bedrock,drilled_azimuth,drilled_inclination
213877.5349,6638280.0164,18.25,NaN,0,90
213877.5349,6638280.0164,0.1,NaN,0,90
214181.9514,6638651.6992,4.85,NaN,0,90
214496.5179,6636342.0002,29.78,NaN,0,90
213399.9852,6645404.4805,15.475,NaN,0,90
213399.9852,6645404.4805,0.1,NaN,0,90
214029.1067,6638883.3794,4.56,NaN,0,90
213545.0835,6645251.3885,15.05,NaN,0,90
214496.5179,6636342.0002,35.275,NaN,0,90
214496.5179,6636342.0002,0.1,NaN,0,90
214547.0735,6636297.7103,30.02,NaN,0,90
214685.4004,6636300.2299,35.15,NaN,0,90
213518.0844,6638278.5788,12.56,NaN,0,90
213772.9125,6637949.0911,25.025,NaN,0,90
213371.9776,6645647.1434,30.725,30.725,0,90
213832.7194,6638142.8701,5.44,NaN,0,90
214622.3207,6636344.9531,0,NaN,0,90
213247.6562,6645538.8313,20.82,NaN,0,90
214046.099,6638718.5096,13.06,NaN,0,90
213772.9125,6637949.0911,2.175,2.175,0,90
213772.9125,6637949.0911,2.4,2.4,0,90
213310.2604,6645366.0959,25.2,NaN,0,90
213310.2604,6645366.0959,0.1,NaN,0,90
213832.7194,6638142.8701,9,NaN,0,90
213909.0459,6640513.4123,3.48,2.44,0,90
213882.5571,6640619.5753,3.8,NaN,0,90
213875.7961,6640458.1778,2.76,2.76,0,90
213919.744,6639959.7979,3.3,3.3,0,90
213884.5333,6640574.5216,8.15,8.15,0,90
213947.9281,6639792.1273,2.8,NaN,0,90
213871.4899,6640510.1385,7.18,7.18,0,90
213894.07,6640689.094,4.37,4.37,0,90
213890.4628,6640648.9297,4.65,4.65,0,90
213872.3354,6640408.5752,4.79,4.79,0,90
213877.7323,6640257.3923,0.8,0.8,0,90
213882.4574,6640619.5836,3.81,3.81,0,90
213873.836,6640541.1574,8.84,NaN,0,90
213892.657,6640161.2613,0.2,0.2,0,90
213871.3829,6640307.1595,3.96,3.96,0,90
213856.3746,6640502.4853,5.33,5.33,0,90
213871.5896,6640510.1302,5,NaN,0,90
213900.2015,6640108.9638,0.9,0.9,0,90
213912.6746,6640010.2525,5.45,5.45,0,90
213947.8283,6639792.1356,2.58,2.58,0,90
213928.2458,6639908.5304,0.83,NaN,0,90
213885.3854,6640207.8611,0.9,0.9,0,90
213919.6443,6639959.8062,3,NaN,0,90
213919.8437,6639959.7896,3.3,NaN,0,90
215494.703,6652737.7439,14.5,14.5,NaN,NaN
214018.1104,6652451.3423,16.5,NaN,NaN,NaN
215126.341,6651035.7387,15.8,15.8,NaN,NaN
214771.8168,6655415.8791,17.1,17.1,NaN,NaN
208220.958,6659821.121,16.4,NaN,NaN,NaN
214099.6965,6652058.723,12.4,12.4,NaN,NaN
214754.111,6653083.1536,24.4,24.4,NaN,NaN
214069.8411,6648567.5584,23.9,23.9,NaN,NaN
210047.2864,6647978.7592,10.6,NaN,NaN,NaN
210182.5582,6647594.4726,1.8,1.8,NaN,NaN
215384.1531,6651493.5647,5.8,5.8,NaN,NaN
218393.7302,6655691.9849,33,33,NaN,NaN
214142.9355,6649812.3429,9.6,9.6,NaN,NaN
214786.3443,6652409.9251,25.4,25.4,NaN,NaN
211621.9074,6637226.364,7.1,7.1,NaN,NaN
214702.9538,6646537.8332,43,NaN,NaN,NaN
215376.3716,6637100.3888,40,NaN,NaN,NaN
214047.3091,6638663.9536,6.3,6.3,NaN,NaN
212572.9091,6653189.5931,22.4,NaN,NaN,NaN
216876.7949,6654643.1352,11,NaN,NaN,NaN
216876.7949,6654643.1352,11.7,11.7,NaN,NaN
207366.4904,6662835.6805,13.7,13.7,NaN,NaN
214594.9175,6648329.4264,25.2,25.2,NaN,NaN
216076.056,6661277.7812,18.7,18.7,NaN,NaN
216336.2833,6655609.5077,10.5,NaN,NaN,NaN
216336.2833,6655609.5077,11.6,11.6,NaN,NaN
214516.8122,6648816.3665,40.4,NaN,NaN,NaN
214398.6824,6648069.2578,43,NaN,NaN,NaN
214871.5843,6660914.9111,4.8,4.8,NaN,NaN
216973.1665,6636392.3078,10.2,10.2,NaN,NaN
211862.5596,6637511.1091,13.2,13.2,NaN,NaN
210844.6186,6647406.1137,18.5,18.5,NaN,NaN
213696.575,6638312.1167,30.4,NaN,NaN,NaN
210901.9199,6639278.1333,15,15,NaN,NaN
216076.1079,6654734.4728,10,NaN,NaN,NaN
216076.1079,6654734.4728,16,16,NaN,NaN
213585.3915,6646588.8516,13.2,13.2,NaN,NaN
213814.8592,6653012.5899,38,NaN,NaN,NaN
214047.3091,6638663.9536,9.8,9.8,NaN,NaN
207922.0376,6660491.3979,5,5,NaN,NaN
215931.7612,6634761.5227,18.2,18.2,NaN,NaN
214047.3091,6638663.9536,7.3,7.3,NaN,NaN
210182.5582,6647594.4726,2.4,2.4,NaN,NaN
216095.0022,6659464.7619,4.1,4.1,NaN,NaN
210596.9624,6637262.2812,8.4,8.4,NaN,NaN
216144.0095,6649176.7331,4.8,4.8,NaN,NaN
218819.2539,6657606.431,34.2,NaN,NaN,NaN
213657.0646,6653331.9757,43,NaN,NaN,NaN
216207.7326,6660348.576,22.9,22.9,NaN,NaN
212480.9299,6653548.683,28.7,NaN,NaN,NaN
216313.4163,6659069.414,12,NaN,NaN,NaN
216313.4163,6659069.414,18.9,18.9,NaN,NaN
210901.9199,6639278.1333,11.7,NaN,NaN,NaN
214436.478,6644365.732,7.8,7.8,NaN,NaN
210901.9199,6639278.1333,10.7,NaN,NaN,NaN
216095.0022,6659464.7619,2.9,2.9,NaN,NaN
210262.3896,6639671.5189,20.9,20.9,NaN,NaN
214777.0883,6661934.194,41.2,41.2,NaN,NaN
216095.0022,6659464.7619,1.8,1.8,NaN,NaN
215092.9072,6649729.8225,20.6,NaN,NaN,NaN
215683.1937,6649977.0318,30,NaN,NaN,NaN
215683.1937,6649977.0318,31.4,31.4,NaN,NaN
214455.2401,6638807.5505,10.7,10.7,NaN,NaN
211690.3134,6654440.5135,16.2,NaN,NaN,NaN
216898.5239,6653995.844,9.4,9.4,NaN,NaN
214768.6617,6654494.8793,18.1,18.1,NaN,NaN
218819.2539,6657606.431,38.4,38.4,NaN,NaN
211088.2631,6638998.4317,11.3,11.3,NaN,NaN
215212.1704,6650597.2852,41.1,NaN,NaN,NaN
216505.7392,6655107.417,31.1,31.1,NaN,NaN
211641.3338,6653645.8094,5.4,5.4,NaN,NaN
212314.8002,6644281.0719,23.3,23.3,NaN,NaN
214616.076,6636696.8966,20.175,NaN,0,90
214616.076,6636696.8966,25.76,NaN,0,90
214616.076,6636696.8966,0.1,NaN,0,90
214616.076,6636696.8966,NaN,NaN,0,90
214581.9212,6636688.2377,19.925,NaN,0,90
214604.1941,6636705.5133,19.925,NaN,0,90
214628.5523,6636715.8657,39.95,NaN,0,90
214615.7466,6636720.948,19.925,NaN,0,90
214602.7027,6636675.7978,41.825,NaN,0,90
