%"X_grid","Y_grid","Soiltype"
210262.500000,6637562.500000,130
210262.500000,6637587.500000,130
210262.500000,6637612.500000,130
210262.500000,6637637.500000,130
210262.500000,6637662.500000,130
210262.500000,6637687.500000,130
210262.500000,6637712.500000,130
210262.500000,6637737.500000,130
210262.500000,6637762.500000,130
210262.500000,6637787.500000,130
210262.500000,6637812.500000,130
210262.500000,6637837.500000,130
210262.500000,6637862.500000,130
210262.500000,6637887.500000,130
210262.500000,6637912.500000,130
210262.500000,6637937.500000,130
210262.500000,6637962.500000,130
210262.500000,6637987.500000,130
210262.500000,6638012.500000,130
210262.500000,6638037.500000,20
210262.500000,6638062.500000,20
210262.500000,6638087.500000,20
210262.500000,6638112.500000,20
210262.500000,6638137.500000,130
210262.500000,6638162.500000,130
210262.500000,6638187.500000,130
210262.500000,6638212.500000,130
210262.500000,6638237.500000,130
210262.500000,6638262.500000,130
210262.500000,6638287.500000,130
210262.500000,6638312.500000,130
210262.500000,6638337.500000,20
210262.500000,6638362.500000,20
210262.500000,6638387.500000,20
210262.500000,6638412.500000,20
210262.500000,6638437.500000,20
210262.500000,6638462.500000,20
210262.500000,6638487.500000,12
210262.500000,6638512.500000,12
210262.500000,6638537.500000,12
210262.500000,6638562.500000,12
210262.500000,6638587.500000,12
210262.500000,6638612.500000,130
210262.500000,6638637.500000,130
210262.500000,6638662.500000,12
210262.500000,6638687.500000,12
210262.500000,6638712.500000,12
210262.500000,6638737.500000,130
210262.500000,6638762.500000,12
210262.500000,6638787.500000,12
210262.500000,6638812.500000,12
210262.500000,6638837.500000,12
210262.500000,6638862.500000,12
210262.500000,6638887.500000,12
210262.500000,6638912.500000,12
210262.500000,6638937.500000,12
210262.500000,6638962.500000,130
210262.500000,6638987.500000,130
210262.500000,6639012.500000,130
210262.500000,6639037.500000,130
210262.500000,6639062.500000,130
210262.500000,6639087.500000,42
210262.500000,6639112.500000,42
210262.500000,6639137.500000,42
210262.500000,6639162.500000,42
210262.500000,6639187.500000,42
210262.500000,6639212.500000,42
210262.500000,6639237.500000,42
210262.500000,6639262.500000,42
210262.500000,6639287.500000,42
210262.500000,6639312.500000,42
210262.500000,6639337.500000,42
210262.500000,6639362.500000,41
210262.500000,6639387.500000,41
210262.500000,6639412.500000,41
210262.500000,6639437.500000,41
210262.500000,6639462.500000,41
210262.500000,6639487.500000,41
210262.500000,6639512.500000,41
210262.500000,6639537.500000,41
210262.500000,6639562.500000,41
210262.500000,6639587.500000,41
210262.500000,6639612.500000,41
210262.500000,6639637.500000,41
210262.500000,6639662.500000,41
210262.500000,6639687.500000,41
210262.500000,6639712.500000,41
210262.500000,6639737.500000,41
210262.500000,6639762.500000,41
210262.500000,6639787.500000,41
210262.500000,6639812.500000,41
210262.500000,6639837.500000,41
210262.500000,6639862.500000,41
210262.500000,6639887.500000,41
210262.500000,6639912.500000,41
210262.500000,6639937.500000,41
210262.500000,6639962.500000,41
210262.500000,6639987.500000,41
210262.500000,6640012.500000,41
210262.500000,6640037.500000,41
210262.500000,6640062.500000,41
210262.500000,6640087.500000,41
210262.500000,6640112.500000,41
210262.500000,6640137.500000,41
210262.500000,6640162.500000,41
210262.500000,6640187.500000,41
210262.500000,6640212.500000,41
210262.500000,6640237.500000,41
210262.500000,6640262.500000,41
210262.500000,6640287.500000,41
210262.500000,6640312.500000,41
210262.500000,6640337.500000,41
210262.500000,6640362.500000,41
210262.500000,6640387.500000,41
210262.500000,6640412.500000,41
210262.500000,6640437.500000,41
210262.500000,6640462.500000,41
210262.500000,6640487.500000,41
210262.500000,6640512.500000,90
210262.500000,6640537.500000,90
210262.500000,6640562.500000,41
210262.500000,6640587.500000,41
210262.500000,6640612.500000,41
210262.500000,6640637.500000,41
210262.500000,6640662.500000,42
210262.500000,6640687.500000,42
210262.500000,6640712.500000,42
210262.500000,6640737.500000,42
210262.500000,6640762.500000,42
210262.500000,6640787.500000,42
210262.500000,6640812.500000,42
210262.500000,6640837.500000,42
210262.500000,6640862.500000,42
210262.500000,6640887.500000,42
210262.500000,6640912.500000,42
210262.500000,6640937.500000,20
210262.500000,6640962.500000,20
210262.500000,6640987.500000,20
210262.500000,6641012.500000,20
210262.500000,6641037.500000,20
210262.500000,6641062.500000,20
210262.500000,6641087.500000,20
